id;wins;totalChampionKills
101648;380;4524
101649;2218;28541
101650;982;13158
101651;1274;16840
101653;1422;22125
101656;1203;13545
101659;974;13556
101663;752;7782
101664;999;17865
101666;1344;20186
101667;670;6633
101669;715;7524
101670;673;9250
101673;587;8557
101676;686;8128
101677;1200;9725
101679;2670;35593
101681;848;14006
101687;430;4460
101689;885;12858
101691;204;2276
101692;498;6798
101693;1143;15804
101694;1085;12800
101695;1423;20613
101696;1308;19616
101697;1215;15565
101701;444;6016
101705;920;11848
101706;152;1718
101707;614;6975
101709;796;11107
101710;1241;14754
101711;441;4701
101713;1101;15414
101714;569;6577
101716;646;7367
101717;1035;11710
101719;1088;15473
101723;864;11159
101729;1043;15003
101730;653;7772
101731;1470;16699
101732;932;14172
101734;844;13701
101736;688;8987
101737;1115;12678
101738;995;10950
101742;467;5550
101746;479;4644
101747;274;2864
101748;605;8804
101750;542;6321
101751;1484;18521
101753;949;15235
101754;551;6775
101755;2441;27287
101758;1434;22679
101759;434;5428
101760;919;16777
101761;534;8432
101762;1283;16032
101763;888;13152
101764;705;9346
101765;544;9172
101766;1642;17029
101767;1329;15063
101768;1264;13072
101769;948;14262
101777;683;7171
101778;949;9614
101779;1046;12413
101786;891;10283
101788;1046;11344
101789;750;8278
101790;1466;24352
101791;105;1307
101792;325;5370
101795;813;13008
101796;398;3203
101797;2776;38194
101798;790;9384
101799;440;4689
101801;1513;15666
101802;343;4213
101803;514;3410
101804;1685;25106
101805;1290;17567
101806;1096;15109
101807;680;8945
101809;966;7141
101811;936;11086
101813;502;7863
101815;460;5813
101817;1035;12069
101819;600;7092
101821;1455;22618
101823;1654;23637
101826;1174;17733
101827;487;6469
101828;1355;19564
101830;764;5875
101832;648;7517
101833;1213;11845
101835;438;6896
101836;904;12013
101837;1479;16410
101839;1346;20797
101840;672;8014
101844;764;6729
101845;262;3045
101847;860;12538
101849;867;9064
101850;1168;15978
101851;204;3084
101852;2011;29707
101853;387;5319
101855;1070;14518
101856;1179;17505
101859;1152;20468
101864;1437;14465
101871;744;8367
101873;893;9540
101874;2415;32042
101875;2024;34792
101876;1784;20841
101878;400;4425
101879;2584;31649
101880;1082;17719
101882;816;11197
101884;521;7450
101885;1751;23787
101888;863;10794
101890;1517;22321
101891;1847;16284
101892;134;1691
101893;420;5512
101894;1178;15827
101895;216;2170
101896;752;9583
101899;1473;19658
